id;nume;prenume;farmacie;email;telefon
1;patiently;ultimately;expense;Zenobia.Miu@hotmail.com;esteemed blossom scram
2;blushing shanghai fooey;blah er gah;denitrify huzzah stigmatize;Anda_Badea49@gmail.com;um
3;fuel downshift;round putrid wallop;extract dimly but;Teodora.Dragoi90@yahoo.com;inexperienced while lanky
4;structure deceivingly amongst;sailor;unearth ugh obediently;Ladislau37@gmail.com;carelessly once among
5;for reopen as;fixed;serenade fishery testify;Veronica.Iosif@yahoo.com;gee
6;mid;fully obediently;following hmph anenst;Augustin.Prodan@gmail.com;fooey char ascertain
7;properly dependable dividend;mismatch;until;Zoe.Alexe@hotmail.com;below once
8;beneath entwine;certification acidly;into if bashfully;Nicoara.Staicu@yahoo.com;vice sharply barring
9;hence;gah;unaccountably;Aura84@hotmail.com;unless if whereas
10;blah huzzah repeatedly;whose devastation hoick;big stint psst;Mariana_Bratu@gmail.com;feather
