id;nume;prenume;specializare;email;telefon;cabinet
1;disposer;going;scotch;Marinela.Alexandru11@gmail.com;offensively unless;phooey
2;courteous;eek where;defrag er mysteriously;Carmen_Alexe@yahoo.com;thongs;glass whoever
3;chap ick uh-huh;now;politely;Gratiana_Veres59@hotmail.com;vivaciously;realistic
4;enrich zowie well-off;sleepy;upside-down offend;Nae.Radu@gmail.com;circa;certify onto spirit
5;overvalue oh;easily;part drat agreeable;Ieremia70@yahoo.com;gee blah er;because cute astride
6;scoop;legend;despite wherever;Marcel_Petcu@gmail.com;though large;wonderfully
7;hence that;roughly aside;weep;Emilia_Sabau@hotmail.com;phew past distinction;stingy wash
8;going pinstripe;while;nor demobilise;Iridenta.Oancea37@hotmail.com;brr;upon
9;as beyond;substantiate mmm hopelessly;yippee fiercely yin;David_Suciu@yahoo.com;oof tomorrow mortise;beautifully
10;underneath supposing considering;toe after wetly;whether yum afore;Maximilian_Ardeleanu@yahoo.com;inventory lively;carefully upliftingly
